AAPL,AMZN,BA,COST,JNJ,NVDA,TMO,TSLA,VLO,date
0.20516823,-0.009193363,-0.006235671,0.20564248,0.06802716,0.19208644,0.12119097,0.08514022,0.13817345,2024-08-08
0.20131567,-0.005746025,-0.0027430006,0.20132688,0.06662033,0.19004405,0.12260897,0.08961373,0.13695942,2024-08-09
0.20245862,-0.008168674,-0.00460978,0.20270957,0.06814985,0.19055024,0.12248433,0.08832752,0.13809831,2024-08-12
0.20313828,-0.010630888,-0.006013045,0.20355478,0.069524005,0.1910822,0.122384146,0.086639345,0.14032118,2024-08-13
0.20173134,-0.0014019292,0.0007136383,0.20112824,0.061276503,0.19041158,0.12156593,0.092582665,0.13199194,2024-08-14
0.20340492,-0.006694256,-0.0027872333,0.20331363,0.06500899,0.19165567,0.121096335,0.08846573,0.13653623,2024-08-15
0.20064239,-0.00065830344,0.0014957327,0.19994178,0.06133243,0.1899296,0.12174386,0.09324335,0.13232908,2024-08-16
0.20114553,-0.0013345599,0.00046827734,0.20054577,0.06197902,0.19003074,0.12221431,0.093064405,0.13188648,2024-08-19
0.2016265,-0.0023406134,-0.0006330472,0.20110692,0.062544286,0.19027133,0.12209682,0.09291105,0.13241677,2024-08-20
0.20323291,-0.0045537767,-0.0029733458,0.20300697,0.06407481,0.19111168,0.121363394,0.09094935,0.13378799,2024-08-21
0.20195036,-0.0067447657,-0.0042050886,0.2020066,0.0671666,0.18997341,0.12332066,0.09120143,0.1353308,2024-08-22
0.20396031,-0.010306507,-0.005894973,0.20448641,0.069345735,0.19125135,0.12198427,0.08678551,0.13838787,2024-08-23
0.2026326,-0.005744799,-0.0014485007,0.20230901,0.06470208,0.19127978,0.121432714,0.09003871,0.13479842,2024-08-26
0.20294929,-0.0118675,-0.0075885374,0.20380676,0.072292194,0.19012193,0.123428665,0.08699701,0.13986024,2024-08-27
0.20311311,-0.011648266,-0.0063151643,0.20355707,0.07009463,0.1911466,0.122584514,0.08696295,0.14050448,2024-08-28
0.20428072,-0.013455435,-0.008271519,0.20533715,0.07270701,0.19085547,0.122724876,0.08522465,0.14059706,2024-08-29
0.20307495,-0.011036171,-0.006560912,0.20365092,0.07070687,0.19055286,0.123035036,0.08783625,0.13874023,2024-08-30
0.2014496,-0.010296609,-0.0065124216,0.20197195,0.0713591,0.18941763,0.12421642,0.08968169,0.13871266,2024-09-03
0.2038947,-0.011724001,-0.010450324,0.20475504,0.073711574,0.1900227,0.12453731,0.088429905,0.1368231,2024-09-04
0.20198072,-0.0085200975,-0.007093036,0.2027506,0.07158916,0.18846314,0.12526843,0.09092731,0.13463381,2024-09-05
0.2006438,0.00065880304,-0.0022313145,0.2004216,0.06427655,0.18768564,0.1241875,0.0961192,0.12823822,2024-09-06
0.2034013,-0.009023069,-0.007578716,0.20411198,0.07069877,0.18963705,0.12431415,0.08908441,0.13535418,2024-09-09
0.20012097,-0.005916251,-0.0054560844,0.20056903,0.070428334,0.18767989,0.12569492,0.09249858,0.13438053,2024-09-10
0.20021637,-0.007509434,-0.007467161,0.20090531,0.07225911,0.18723346,0.12656617,0.093005866,0.1347903,2024-09-11
0.20026223,-0.0024890532,-0.0017885006,0.200044,0.0648503,0.18871228,0.12369098,0.09414489,0.13257289,2024-09-12
0.20048907,-0.0041666855,-0.0027174144,0.2003917,0.066163585,0.18893935,0.12375108,0.09319958,0.13394974,2024-09-13
0.2017798,-0.0069773127,-0.0048594736,0.20195602,0.067954354,0.18964049,0.12387836,0.09167744,0.13495028,2024-09-16
0.2025691,-0.007815964,-0.00605714,0.20315811,0.070037685,0.18911794,0.12434807,0.09052294,0.13411926,2024-09-17
0.2025301,-0.0077665173,-0.0051296623,0.20297393,0.06931675,0.18949279,0.12370953,0.09017846,0.13469471,2024-09-18
0.20216739,-0.007868991,-0.005076051,0.20252204,0.06887555,0.18952194,0.12377602,0.09067665,0.13540547,2024-09-19
0.19901067,-0.004167274,-0.0037444034,0.19896203,0.06739059,0.18750118,0.12577742,0.09579096,0.13347885,2024-09-20
0.19731866,-0.0018753085,-0.0011260025,0.197075,0.06550506,0.18715928,0.12415245,0.09550724,0.13628365,2024-09-23
0.19744003,0.00013576505,0.0015561964,0.1968591,0.06307468,0.18735062,0.124079205,0.09673165,0.13277277,2024-09-24
0.19811362,0.00027486138,-0.0005693575,0.19767065,0.06382722,0.18707335,0.1250297,0.09798408,0.1305959,2024-09-25
0.20064698,-0.0021774871,-0.0007850238,0.20014428,0.06251717,0.1894854,0.12270928,0.094792835,0.13266654,2024-09-26
0.20058478,-0.007984972,-0.004351537,0.20074064,0.068164155,0.18917537,0.12429214,0.091567606,0.13781172,2024-09-27
0.20114824,-0.005922622,-0.0035360565,0.20113297,0.06640909,0.18933071,0.1237596,0.09263456,0.1350435,2024-09-30
0.200454,-0.008174496,-0.006102652,0.20076135,0.06961283,0.1885282,0.12537391,0.09303154,0.13651536,2024-10-01
0.20222326,-0.006841097,-0.003868055,0.20227288,0.066490375,0.18985915,0.1234193,0.09188002,0.13456416,2024-10-02
0.20191805,-0.006928712,-0.004310295,0.20204124,0.06704826,0.1896972,0.12383378,0.09199417,0.13470632,2024-10-03
0.20417206,-0.012970424,-0.006848431,0.20476651,0.06999955,0.19218975,0.120573476,0.08493428,0.1431832,2024-10-04
0.20262007,0.0002677616,0.0019834938,0.20148416,0.05855952,0.19140574,0.11915999,0.0951453,0.12937388,2024-10-07
0.2045414,-0.010328381,-0.0042883987,0.20475975,0.06650573,0.19252105,0.12052834,0.08662605,0.13913444,2024-10-08
0.2026159,-0.006278806,-0.0031507728,0.20247108,0.06508381,0.1908403,0.122196056,0.0912717,0.13495071,2024-10-09
0.20239316,-0.010467537,-0.005880478,0.20262133,0.06898843,0.19084728,0.12262855,0.08902706,0.13984226,2024-10-10
0.20287165,-0.009737155,-0.005493535,0.2030959,0.06811494,0.19091684,0.122651204,0.08951492,0.13806523,2024-10-11
0.20342024,-0.008243868,-0.0035924164,0.20352174,0.06672694,0.19126776,0.1221599,0.08891289,0.13582684,2024-10-14
0.20191826,-0.0056300536,-0.0030464802,0.20183454,0.065970995,0.18994822,0.12344496,0.09228295,0.13327657,2024-10-15
0.20144138,-0.0056424704,-0.0031700674,0.20149677,0.0673218,0.18931825,0.12358093,0.09189516,0.13375828,2024-10-16
