date,sp500_log_return
2021-09-02,0.003071859563178311
2021-09-03,-0.00024275326456844163
2021-09-07,-0.0035819349770811436
2021-09-08,-0.0012190123078291487
2021-09-09,-0.0042894197272803575
2021-09-10,-0.007915785614322024
2021-09-13,0.0025559978938741105
2021-09-14,-0.00541118356571289
2021-09-15,0.008317967357834782
2021-09-16,-0.0015865038800562123
2021-09-17,-0.012987341689304007
2021-09-20,-0.016814798070629022
2021-09-21,-0.000945059828081171
2021-09-22,0.009707588655264391
2021-09-23,0.012076783481868766
2021-09-24,0.0016458311214935907
2021-09-27,-0.002865040592698327
2021-09-28,-0.020357633985873
2021-09-29,0.0016816986812337234
2021-09-30,-0.012297657268279926
2021-10-01,0.011814170629569253
2021-10-04,-0.012979970850205805
2021-10-05,0.010351242424282498
