date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2022-05-23,554.6247,556.4007,546.4502,550.8643,628271,0.0001080179158292,3.2968199327124994,4.917079660301477,-0.1223275863492889,0.018910244166957444,0.2931286917060445,546.2371365940215,544.025632860791,2.211503733230529,13.0,0.0846854615384615,0.0375455911876025,0.0476190476190476,0.004032641025641
2022-05-24,548.1855,548.9197,539.0277,544.5244,529618,-0.0115757462064059,-0.4102259940622652,1.884092983049035,0.10774676385607,0.015292529178544354,0.2687481024429821,545.6662243960144,544.0709753279918,1.5952490680225535,12.0,0.1023006666666666,0.0416614890462424,0.0714285714285714,0.0073071904761904
2022-05-25,546.5285,546.5285,525.5491,530.2073,879812,-0.0266446909734723,-0.5173510775556368,0.9895100392087156,0.5068199366709465,0.0166713747998187,0.3194242572276514,540.513249597343,542.8106412072653,-2.297391609922329,6.0,0.0865711666666666,0.0193054845481666,0.0326086956521739,0.0028229728260869
2022-05-26,535.4261,537.3113,529.6219,535.8825,1181068,0.0106468584720316,-0.6255498140836941,0.967312551260194,0.5593281669551435,0.01536995474102043,0.2656759993082347,538.9696663982287,542.180810188423,-3.211143790194342,7.0,0.2011,0.0312773733333333,0.0321100917431192,0.0064573394495412
2022-05-27,541.2998,568.6242,540.01,567.8702,1115411,0.0579779508579988,3.6544532958226337,3.0551795736650487,0.330529979416662,0.03214244202252441,0.4204549202515129,548.6031775988191,544.5162092622028,4.086968336616337,5.0,0.08596,0.0645876629999999,0.0337837837837837,0.002904054054054
2022-05-31,564.2289,568.8028,558.0973,563.1276,1900133,-0.0083866260353958,2.033431248878372,2.6102780855072067,0.3686275278321365,0.03275711795085824,0.4261179959151978,553.4446517325462,546.2081538747298,7.236497857816403,13.0,0.2391635384615384,0.0594663476427692,0.055793991416309,0.0133438884120171
2022-06-01,565.0921,568.6044,546.0126,551.8664,742271,-0.020200257446217,0.964070366990935,0.0762702487218685,0.262497712133743,0.03401193940058316,0.4488400132417061,552.9185678216975,546.7225398861179,6.1960279355795365,6.0,0.3187166666666667,0.1256959656666667,0.0461538461538461,0.0147099999999999
2022-06-02,550.2194,565.9355,544.7129,565.6378,486910,0.0246479560345474,25.05392547592396,2.5461104123251035,0.6674297929680668,0.030511691824006665,0.4720090118318888,557.1583118811317,548.4421089873799,8.716202893751756,1.0,0.0,0.0,0.0089285714285714,0.0
2022-06-03,556.6487,559.6054,550.4179,553.7317,352186,-0.021273670623189,4.21413799028904,0.3972955807047356,-0.0991993205968052,0.03422428163105617,0.4885571780214162,556.0161079207545,548.9229808976181,7.09312702313639,7.0,0.0136357142857142,0.0013015289285714,0.035,0.0004772499999999
2022-06-06,554.5751,557.9981,546.2309,548.5526,374018,-0.0093971003884569,-0.8252377503734688,-0.0981004885467626,0.0529033050010836,0.018622673987951446,0.455328691642493,553.5282719471697,548.8893099069255,4.638962040244223,4.0,0.0298125,0.0035551406249999,0.0155642023346303,0.0004640077821011
