date,open,high,low,close,volume,daily_return,ann_return_1w,ann_return_2w,ann_return_1m,rolling_vol_7d,ann_volatility,ema_1w,ema_1m,macd_1w_1m,news_count,mean_sentiment,sentiment_variance,normalized_news_frequency,product
2021-02-23,331.45,333.8277,325.2965,325.3631,2498213,-0.0242574992681145,-0.8083600369770063,-0.719509789300829,-0.4779217043592417,0.013470093172945143,0.1876228755183124,332.8065997808989,338.15855278256726,-5.351953001668335,1.0,0.1405,0.0,0.0089285714285714,0.0012544642857142
2021-02-24,325.0683,325.7435,321.3591,324.0411,2317010,-0.0040714298619619,-0.917491230564706,-0.7425695851349683,-0.4970090190065237,0.008763462767666456,0.1859785666361628,329.88476652059927,336.875147984152,-6.990381463552751,1.0,0.3818,0.0,0.0099009900990099,0.0037801980198019
2021-02-25,324.3169,326.2191,317.0318,317.0318,2451212,-0.0218682752957306,-0.9680871472429528,-0.8109665123526062,-0.6438144538581716,0.009111304493252016,0.1990023847024081,325.6004443470662,335.07120725832,-9.470762911253814,,0.0,0.0,0.0,0.0
2021-02-26,318.8734,319.4569,314.4257,314.8062,2280697,-0.0070448729096587,-0.9696601868936026,-0.790792375941733,-0.5726548449970263,0.008910218773588262,0.1369749665745754,322.0023628980441,333.2289338712,-11.226570973155845,1.0,0.1027,0.0,0.0091743119266055,0.0009422018348623
2021-03-01,318.4392,319.5614,315.1485,316.5942,3347840,0.0056636162390878,-0.925693321021353,-0.7552210026858941,-0.5484196925110882,0.012578389500211265,0.1656669937069555,320.1996419320294,331.7166853374545,-11.517043405425111,2.0,-0.3144,0.000242,0.0122699386503067,-0.0038576687116564
2021-03-02,317.1838,318.3156,312.3524,312.5616,3289953,-0.012819257882002,-0.8677507756642969,-0.8408012673997884,-0.5508675987330454,0.010229744788058411,0.1639140298682133,317.65362795468627,329.97531394314046,-12.321685988454192,,0.0,0.0,0.0,0.0
2021-03-03,312.1907,313.4556,307.8633,308.0725,2661838,-0.0144664248666852,-0.9216817653814772,-0.9196137999236248,-0.6028633246028166,0.010280776763424534,0.1652314736271044,314.4599186364576,327.9841490392186,-13.524230402761075,,0.0,0.0,0.0,0.0
2021-03-04,308.6337,309.6703,296.8213,299.1134,3203692,-0.0295123791819357,-0.946722312554901,-0.9587659971058906,-0.7606962536216771,0.01274099198143662,0.1844721570115376,309.34441242430506,325.3595354901987,-16.015123065893647,3.0,0.3267,0.0529743899999999,0.0306122448979591,0.0100010204081632
2021-03-05,299.5889,302.8511,291.9803,301.9666,5408566,0.0094936495299473,-0.8773837999222203,-0.9390069463448792,-0.743502505014594,0.01596876713583438,0.2229531398266551,306.8851416162034,323.2329049910897,-16.34776337488637,2.0,0.4111,0.00171698,0.0222222222222222,0.0091355555555555
2021-03-08,302.718,306.5593,295.6895,296.3553,3194901,-0.0187573428997842,-0.9641894403630842,-0.9484154697706182,-0.7943660924602938,0.014262954965828939,0.2167389872569237,303.3751944108023,320.78948635553616,-17.41429194473386,3.0,0.0607499999999999,0.0402075775,0.0127659574468085,0.0007755319148936
2021-03-09,298.4001,304.6106,297.411,302.6799,3755667,0.0211167391119408,-0.8019306820004806,-0.8381528076544478,-0.732092769165682,0.02098647819923208,0.2857499043162388,303.14342960720154,319.14316032321466,-15.99973071601312,,0.0,0.0,0.0,0.0
2021-03-10,303.8688,311.3728,301.7954,308.006,3170741,0.0174434518589674,-0.0108214538739619,-0.7216643798305564,-0.7172554622602663,0.022710840922026628,0.3127386374387262,304.76428640480106,318.1306912029224,-13.366404798121325,,0.0,0.0,0.0,0.0
2021-03-11,312.8089,315.7572,310.7366,312.5711,3032082,0.0147126999943941,8.189518662864845,-0.3002884143513007,-0.6599470735610885,0.015978576470239283,0.3233155318323114,307.3665576032007,317.6252738208385,-10.258716217637811,,0.0,0.0,0.0,0.0
2021-03-12,311.9529,315.4624,309.6703,315.4624,2316003,0.0092075356702964,8.057955390827841,0.0538747888138091,-0.5737818297292528,0.015975991675863065,0.3097299038980155,310.0651717354672,317.428648928035,-7.363477192567814,,0.0,0.0,0.0,0.0
2021-03-15,316.3287,317.5357,311.3062,314.3306,2259505,-0.0035942006926361,18.450364058020835,-0.1654172167726666,-0.5337851599889247,0.009628521371172812,0.2202067278784678,311.4869811569781,317.14700811639545,-5.660026959417337,,0.0,0.0,0.0,0.0
2021-03-16,313.9503,313.9503,310.6595,311.173,2084136,-0.0100962706605266,3.033885659749905,-0.1061381641916338,-0.5841588120379769,0.011908062901105106,0.2415563147413858,311.38232077131875,316.6039164694504,-5.221595698131637,,0.0,0.0,0.0,0.0
2021-03-17,310.6681,314.3306,308.2628,313.0847,1867026,0.0061247333465892,1.2802080344165612,0.5018431570404056,-0.5747092647626533,0.0100014205734902,0.1801826534251984,311.94978051421253,316.2839876995004,-4.334207185287824,2.0,0.495575,0.0258895012499999,0.0206185567010309,0.0102180412371133
2021-03-18,310.2505,312.0861,306.6031,307.1975,1848497,-0.0189828977418593,-0.5827173395202981,0.958220313490826,-0.709038995754155,0.011590423717988671,0.2136558660889591,310.36568700947504,315.4579433631821,-5.092256353707114,,0.0,0.0,0.0,0.0
2021-03-19,307.9584,313.1418,306.6174,312.7138,3646219,0.0177975320261247,-0.3566430828265032,1.4140211797202795,-0.6264644107428612,0.014266670144636772,0.214730551834267,311.14839133965006,315.208475784711,-4.060084445060966,2.0,0.7699499999999999,0.0020034449999999,0.0158730158730158,0.0122214285714285
2021-03-22,312.8565,319.7232,312.1336,318.2301,2533604,0.0174863107787998,0.8615363670388556,5.017271810891639,-0.5046065740999588,0.01652208974585368,0.2220564999345155,313.50896089310004,315.48316889519185,-1.9742080020918136,,0.0,0.0,0.0,0.0
2021-03-23,319.5615,325.753,317.1838,325.1444,2465327,0.0214946853221151,8.148467071485474,5.074855564403117,-0.258558317562082,0.016557534562465646,0.2481972196262995,317.38744059540005,316.3614626319926,1.0259779634074562,,0.0,0.0,0.0,0.0
2021-03-24,325.8672,326.6707,320.3509,321.5017,1900281,-0.0112665599690739,2.8078516129095723,1.9466411117783768,-0.1334777542129898,0.0189147572860223,0.2623368109476309,318.7588603969334,316.8287569381751,1.9301034587583104,,0.0,0.0,0.0,0.0
2021-03-25,320.1702,330.9745,319.571,329.8522,2956496,0.0256418439674496,35.09491985221728,2.880951453668932,0.2377457590926113,0.014632252454444994,0.2735274741302239,322.4566402646223,318.0127063074319,4.4439339571903815,,0.0,0.0,0.0,0.0
2021-03-26,330.0234,335.2162,327.2653,335.1592,2007213,0.0159609674775715,31.9038370251059,3.600968501484381,0.948856328336856,0.014543111924816741,0.2765500671356438,326.69082684308154,319.5714784613017,7.119348381779787,,0.0,0.0,0.0,0.0
2021-03-29,334.2557,340.2665,333.8372,338.8494,1853600,0.0109501180629996,22.66897609277995,5.637820407881112,1.418584843968779,0.01442936616075628,0.1911350600423159,330.7436845620544,321.3240167830016,9.419667779052816,1.0,0.0,0.0,0.0111111111111111,0.0
2021-03-30,337.1564,337.632,331.7734,332.8766,1674594,-0.0177839101539244,2.269130191377365,4.468777734395037,0.8254239787662851,0.018472218633230186,0.2660592152886348,331.4546563747029,322.3742516209105,9.080404753792436,,0.0,0.0,0.0,0.0
2021-03-31,333.7896,339.9616,332.1443,334.7788,1870597,0.0056981644929025,6.687118961256205,4.410305752473446,1.2796486852654336,0.01622790556198202,0.2594490887105672,332.562704249802,323.5019378371913,9.060766412610633,1.0,-0.2263,0.0,0.0104166666666666,-0.0023572916666666
2021-04-01,336.4431,339.8385,334.4282,337.5749,1942355,0.0083173963920604,2.2103947610121035,9.764708151766603,1.996446842180717,0.013090606762865891,0.240393268227968,334.23343616653466,324.7812980338103,9.452138132724372,,0.0,0.0,0.0,0.0
2021-04-05,338.6479,344.9267,338.6479,343.3384,1808857,0.0169291381116426,2.370933496874839,9.53169722331786,4.231643159199206,0.013305536987730996,0.2168651936949118,337.26842411102314,326.46830730346386,10.800116807559276,2.0,-0.015025,0.00045150125,0.0105263157894736,-0.0001581578947368
2021-04-06,342.3874,345.0504,341.4458,342.5015,1419688,-0.0024405124735039,0.7165250526563767,5.374040353965574,3.5335960938395568,0.01310994445968194,0.192557871715351,339.0127827406821,327.9258702758762,11.086912464805891,,0.0,0.0,0.0,0.0
2021-04-07,341.9118,343.7759,340.1143,341.6931,1168074,-0.0023630714892594,2.7341200596866475,2.4938981990535174,4.519276159674191,0.008110371561896373,0.1813106236521301,339.90622182712144,329.1774366144329,10.728785212688535,,0.0,0.0,0.0,0.0
2021-04-08,344.0042,348.1128,342.0069,343.5477,1943416,0.0054130008849509,2.68083618982469,4.319306878539654,3.57131935549232,0.008107242775680359,0.173686723352891,341.12004788474763,330.483824194939,10.636223689808617,2.0,0.5959835,0.0002033539445,0.0202020202020202,0.0120400707070707
2021-04-09,343.2528,345.9159,342.0022,344.6034,1026459,0.0030682239066285,1.82520706314014,2.011649042348636,2.847021171156174,0.007936035440653745,0.1059467099926823,342.28116525649847,331.7674219953991,10.513743261099364,1.0,0.296,0.0,0.0085470085470085,0.0025299145299145
2021-04-12,345.3262,347.3805,343.8996,346.6197,931299,0.0058340229626759,0.6150854332024045,1.3333121495197755,2.458223447283189,0.00406805416725611,0.1059903441835279,343.72734350433234,333.1176290867264,10.609714417605916,1.0,0.6134,0.0,0.0064935064935064,0.0039831168831168
2021-04-13,346.4294,349.3302,346.4294,347.3425,1103468,0.0020831113319245,1.0286661231425476,0.8660804440992049,2.174854836791421,0.0032892248535789487,0.1042966765451449,344.9323956695549,334.4107991697513,10.52159649980365,1.0,-0.1779,0.0,0.005050505050505,-0.0008984848484848
2021-04-14,347.0001,347.0001,344.8126,346.3629,954190,-0.0028242555157897,0.9820562579654256,1.720521279515407,2.2043243365726,0.003471848028876041,0.0599661228972643,345.40923044637,335.4973537906829,9.911876655687024,,0.0,0.0,0.0,0.0
2021-04-15,346.2868,351.4701,346.2868,350.7568,1187696,0.0126060364865776,1.8481333485320584,2.2378252427707235,3.2077536837482468,0.005666192194340941,0.0841314789465988,347.1917536309133,336.88457617334814,10.307177457565215,,0.0,0.0,0.0,0.0
2021-04-16,350.947,354.5611,350.5476,352.3071,1254124,0.0044101326001314,2.047422076570287,1.934211712725515,3.122062848882958,0.005633627204483595,0.0738198511658748,348.8968690872756,338.28662379395286,10.610245293322748,1.0,0.4801,0.0,0.0064935064935064,0.0031175324675324
2021-04-19,352.4688,353.3533,350.1862,352.4022,797941,0.0002698985257531,1.3021975902941754,0.9282753414483608,4.193393228239298,0.005831019303130155,0.0771430065213949,350.0653127248504,339.56985799450257,10.49545473034783,,0.0,0.0,0.0,0.0
2021-04-20,350.928,356.9911,350.6903,353.087,1527235,0.0019413485424716,1.285807368817368,1.1534019534562971,3.2935465066317136,0.005838809558826708,0.0777845547620267,351.07254181656697,340.7986890859114,10.273852730655562,,0.0,0.0,0.0,0.0
2021-04-21,352.5639,356.2541,352.5639,355.3981,989777,0.0065240841265484,2.661509939769356,1.6939411073225883,2.764316721520576,0.004799448540459489,0.0787677576849025,352.514394544378,342.12590825991947,10.388486284458509,1.0,0.7096,0.0,0.0053191489361702,0.0037744680851063
2021-04-22,355.6168,357.072,351.9267,353.6101,1327591,-0.0050436759133667,0.5043036637389584,1.0698930965182392,1.7376668095687573,0.004420562632804013,0.0944706626303692,352.879629696252,343.1699256908359,9.709704005416086,,0.0,0.0,0.0,0.0
2021-04-23,353.0965,356.5108,352.2881,355.2269,922289,0.0045618465284953,0.5158502326606338,1.149287198999764,2.310326768969245,0.004444952336956266,0.0868983874083022,353.6620531308347,344.26601426439623,9.39603886643846,,0.0,0.0,0.0,0.0
2021-04-26,354.9891,355.7024,350.1957,350.6427,1297083,-0.0129889839462291,-0.2229660107547452,0.3374923467508557,1.082308161098629,0.008004444939581848,0.1085987902412596,352.65560208722314,344.8457129676329,7.809889119590196,,0.0,0.0,0.0,0.0
2021-04-27,350.5666,352.8112,347.4186,352.0978,1127135,0.0041412216303044,-0.1318559151633626,0.4086909335673283,0.8069494219065791,0.008262899463199462,0.1081463464856706,352.4696680581488,345.504993606939,6.96467445120976,,0.0,0.0,0.0,0.0
2021-04-28,352.0883,352.3737,350.1672,350.9566,777740,-0.0032464088192178,-0.4694443504327401,0.3937843393048006,0.5239135021607113,0.007263273081416814,0.1097085054745225,351.9653120387659,346.0005941881264,5.964717850639488,,0.0,0.0,0.0,0.0
2021-04-29,351.3843,357.1314,350.9935,355.4063,1139922,0.0125990729714516,0.2909315861994219,0.3935397786773598,1.1943316134774156,0.009628282381339514,0.1356052840433459,353.112308025844,346.85565835284217,6.256649673001789,1.0,-0.4019,0.0,0.0052910052910052,-0.0021264550264549
2021-04-30,355.168,356.6072,353.91,355.2443,1376375,-0.0004559202590025,0.0024717211747671,0.2327193483427092,1.0381213547382702,0.009425319808257733,0.1298688432055416,353.82297201722935,347.61826213894744,6.204709878281904,,0.0,0.0,0.0,0.0
2021-05-03,354.7391,361.8111,354.7391,361.801,1609765,0.0182886151055809,3.8494226843395936,0.9411765128263933,1.2971818833810072,0.009011602265037296,0.1634019405163442,356.48231467815293,348.9076019444977,7.574712733655247,,0.0,0.0,0.0,0.0
