,date,rf_daily
213,2021-10-28,2.38094954648976e-06
214,2021-10-29,1.984125015749643e-06
215,2021-11-01,1.984125015749643e-06
216,2021-11-02,1.984125015749643e-06
217,2021-11-03,1.984125015749643e-06
218,2021-11-04,1.587300327539756e-06
219,2021-11-05,1.984125015749643e-06
220,2021-11-08,2.38094954648976e-06
221,2021-11-09,1.587300327539756e-06
222,2021-11-10,1.984125015749643e-06
223,2021-11-11,
224,2021-11-12,1.984125015749643e-06
225,2021-11-15,1.984125015749643e-06
226,2021-11-16,1.984125015749643e-06
227,2021-11-17,1.984125015749643e-06
228,2021-11-18,1.984125015749643e-06
229,2021-11-19,1.984125015749643e-06
230,2021-11-22,1.984125015749643e-06
231,2021-11-23,2.38094954648976e-06
232,2021-11-24,2.38094954648976e-06
233,2021-11-25,
234,2021-11-26,2.38094954648976e-06
235,2021-11-29,2.38094954648976e-06
236,2021-11-30,1.984125015749643e-06
237,2021-12-01,2.38094954648976e-06
238,2021-12-02,1.984125015749643e-06
239,2021-12-03,2.38094954648976e-06
240,2021-12-06,1.984125015749643e-06
241,2021-12-07,2.38094954648976e-06
242,2021-12-08,2.7777739197602314e-06
243,2021-12-09,2.38094954648976e-06
244,2021-12-10,2.38094954648976e-06
245,2021-12-13,1.984125015749643e-06
246,2021-12-14,1.984125015749643e-06
247,2021-12-15,1.984125015749643e-06
248,2021-12-16,1.984125015749643e-06
249,2021-12-17,1.984125015749643e-06
250,2021-12-20,2.7777739197602314e-06
251,2021-12-21,2.7777739197602314e-06
252,2021-12-22,3.174598135561181e-06
253,2021-12-23,2.7777739197602314e-06
254,2021-12-24,
255,2021-12-27,2.38094954648976e-06
256,2021-12-28,2.38094954648976e-06
257,2021-12-29,1.984125015749643e-06
258,2021-12-30,1.984125015749643e-06
259,2021-12-31,2.38094954648976e-06
260,2022-01-03,3.174598135561181e-06
261,2022-01-04,3.174598135561181e-06
262,2022-01-05,3.5714221938927356e-06
263,2022-01-06,3.968246094755019e-06
264,2022-01-07,3.968246094755019e-06
265,2022-01-10,5.158716852527495e-06
266,2022-01-11,4.365069838148158e-06
267,2022-01-12,4.761893424072274e-06
268,2022-01-13,4.761893424072274e-06
